Product,Issue,Company,State,ZIP code,Complaint ID
credit reporting credit repair services personal consumer reports,incorrect information report,monterey financial services llc,CA,92656,3232913
credit card prepaid card,getting credit card,barclays bank delaware,IL,606XX,3232942
debt collection,attempts collect debt owed,diversified consultants inc,FL,346XX,3232996
debt collection,written notification debt,bc services inc,CO,80047,3233140
mortgage,trouble payment process,phh mortgage services corporation,CT,060XX,3233062
student loan,struggling repay loan,nelnet inc,VA,20147,3233059
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NY,11040,3233221
debt collection,threatened contact someone share information improperly,ally financial inc,MO,633XX,3232634
credit reporting credit repair services personal consumer reports,improper use report,continental finance company llc,TX,77007,3233136
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,instacredit auto mart inc dba instacredit automart,MO,63640,3233127
mortgage,struggling pay mortgage,bayview loan servicing llc,IA,528XX,3233116
debt collection,attempts collect debt owed,j j marshall  associates inc,MI,48213,3232932
debt collection,attempts collect debt owed,green  sons agency inc,UT,841XX,3232921
debt collection,took threatened take negative legal action,hcfs health care financial services inc,FL,334XX,3232954
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,AZ,864XX,3233204
credit reporting credit repair services personal consumer reports,incorrect information report,santander bank national association,AR,720XX,3233057
debt collection,attempts collect debt owed,debt recovery solutions llc,LA,70122,3233015
credit reporting credit repair services personal consumer reports,incorrect information report,ally financial inc,TX,77020,3232718
debt collection,communication tactics,american coradius international llc,ME,041XX,3233076
money transfer virtual currency money service,fraud scam,square inc,FL,330XX,3232943
debt collection,attempts collect debt owed,aldous  associates pllc,MN,553XX,3233173
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,333XX,3233193
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,FL,33782,3232909
credit card prepaid card,problem making payments,synchrony financial,CA,940XX,3233039
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,MO,63640,3233215
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,330XX,3233213
debt collection,took threatened take negative legal action,wells fargo  company,CA,941XX,3232625
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,NC,270XX,3233168
debt collection,attempts collect debt owed,rentdebt automated collections llc,FL,33647,3233067
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,330XX,3232652
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CO,80132,3233194
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,IL,606XX,3233224
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,NC,270XX,3233151
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,331XX,3233218
debt collection,attempts collect debt owed,the cmi group inc,TX,794XX,3232997
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,IL,606XX,3233226
credit reporting credit repair services personal consumer reports,incorrect information report,cl holdings llc,CA,926XX,3232917
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CA,93458,3232922
money transfer virtual currency money service,fraud scam,wells fargo  company,CA,957XX,3232104
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,AZ,85251,3232120
credit reporting credit repair services personal consumer reports,improper use report,heritage financial group inc,IL,60137,3232388
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,911XX,3232172
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,TX,770XX,3232164
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,jon barry associates inc,NC,28215,3232091
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,339XX,3232421
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CA,926XX,3232148
